"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","855","test_create_board_with_different_names[cyrillic]","tests","2026-09-13","passed","2026-09-13","TestTrelloParametrized","test_parametrized","",""
"","376","test_archive_list","tests","2026-09-13","passed","2026-09-13","TestTrelloLists","test_lists","",""
"","146","test_create_board_without_name","tests","2026-09-13","passed","2026-09-13","TestTrelloNegative","test_negative","",""
"","110","test_create_board_without_auth","tests","2026-09-13","passed","2026-09-13","TestTrelloNegative","test_negative","",""
"","868","test_create_board_with_different_names[symbols]","tests","2026-09-13","passed","2026-09-13","TestTrelloParametrized","test_parametrized","",""
"","104","test_board_schema_validation","tests","2026-09-13","passed","2026-09-13","TestTrelloSchema","test_schema","",""
"","95","SLA: Время ответа при чтении данных доски не превышает 2.0 с","tests","2026-09-13","passed","2026-09-13","TestAPIPerformanceSLA","test_sla","",""
"","167","SLA: Время ответа при получении профиля пользователя не превышает 2.0 с","tests","2026-09-13","passed","2026-09-13","TestAPIPerformanceSLA","test_sla","",""
"","291","test_get_non_existent_board","tests","2026-09-13","passed","2026-09-13","TestTrelloNegative","test_negative","",""
"","1072","test_move_card_between_lists","tests","2026-09-13","passed","2026-09-13","TestTrelloUpdate","test_update","",""
"","610","test_full_trello_workflow","tests","2026-09-13","passed","2026-09-13","TestTrelloWorkflow","test_boards","",""
"","130","test_request_with_invalid_credentials","tests","2026-09-13","passed","2026-09-13","TestTrelloNegative","test_negative","",""
"","350","test_update_board_details","tests","2026-09-13","passed","2026-09-13","TestTrelloUpdate","test_update","",""
"","944","test_create_board_with_different_names[long_name]","tests","2026-09-13","passed","2026-09-13","TestTrelloParametrized","test_parametrized","",""
"","406","test_get_all_lists_on_board","tests","2026-09-13","passed","2026-09-13","TestTrelloLists","test_lists","",""
"","91","Запрос доски с фильтром fields возвращает только запрашиваемые поля","tests","2026-09-13","passed","2026-09-13","TestQueryParams","test_query_params","",""
"","965","test_create_board_with_different_names[english]","tests","2026-09-13","passed","2026-09-13","TestTrelloParametrized","test_parametrized","",""
"","436","test_list_and_card_schema_validation","tests","2026-09-13","passed","2026-09-13","TestTrelloSchema","test_schema","",""
"","759","test_create_board_with_different_names[emoji]","tests","2026-09-13","passed","2026-09-13","TestTrelloParametrized","test_parametrized","",""
"","724","Создание и чтение чек-листа в карточке","tests","2026-09-13","passed","2026-09-13","TestChecklists","test_checklists","",""
