"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","175","test_board_schema_validation","tests","2026-09-05","passed","2026-09-05","TestTrelloSchema","test_schema","",""
"","166","Запрос доски с фильтром fields возвращает только запрашиваемые поля","tests","2026-09-05","passed","2026-09-05","TestQueryParams","test_query_params","",""
"","978","Создание и чтение чек-листа в карточке","tests","2026-09-05","passed","2026-09-05","TestChecklists","test_checklists","",""
"","1123","test_create_board_with_different_names[symbols]","tests","2026-09-05","passed","2026-09-05","TestTrelloParametrized","test_parametrized","",""
"","463","test_archive_list","tests","2026-09-05","passed","2026-09-05","TestTrelloLists","test_lists","",""
"","159","test_request_with_invalid_credentials","tests","2026-09-05","passed","2026-09-05","TestTrelloNegative","test_negative","",""
"","612","test_get_all_lists_on_board","tests","2026-09-05","passed","2026-09-05","TestTrelloLists","test_lists","",""
"","163","SLA: Время ответа при чтении данных доски не превышает 2.0 с","tests","2026-09-05","passed","2026-09-05","TestAPIPerformanceSLA","test_sla","",""
"","544","test_update_board_details","tests","2026-09-05","passed","2026-09-05","TestTrelloUpdate","test_update","",""
"","1012","test_create_board_with_different_names[emoji]","tests","2026-09-05","passed","2026-09-05","TestTrelloParametrized","test_parametrized","",""
"","144","test_create_board_without_auth","tests","2026-09-05","passed","2026-09-05","TestTrelloNegative","test_negative","",""
"","1497","test_move_card_between_lists","tests","2026-09-05","passed","2026-09-05","TestTrelloUpdate","test_update","",""
"","241","SLA: Время ответа при получении профиля пользователя не превышает 2.0 с","tests","2026-09-05","passed","2026-09-05","TestAPIPerformanceSLA","test_sla","",""
"","212","test_create_board_without_name","tests","2026-09-05","passed","2026-09-05","TestTrelloNegative","test_negative","",""
"","1170","test_create_board_with_different_names[long_name]","tests","2026-09-05","passed","2026-09-05","TestTrelloParametrized","test_parametrized","",""
"","1046","test_create_board_with_different_names[cyrillic]","tests","2026-09-05","passed","2026-09-05","TestTrelloParametrized","test_parametrized","",""
"","573","test_list_and_card_schema_validation","tests","2026-09-05","passed","2026-09-05","TestTrelloSchema","test_schema","",""
"","1098","test_create_board_with_different_names[english]","tests","2026-09-05","passed","2026-09-05","TestTrelloParametrized","test_parametrized","",""
"","824","test_full_trello_workflow","tests","2026-09-05","passed","2026-09-05","TestTrelloWorkflow","test_boards","",""
"","226","test_get_non_existent_board","tests","2026-09-05","passed","2026-09-05","TestTrelloNegative","test_negative","",""
