"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1000","test_create_board_with_different_names[emoji]","tests","2026-09-14","passed","2026-09-14","TestTrelloParametrized","test_parametrized","",""
"","854","test_create_board_with_different_names[cyrillic]","tests","2026-09-14","passed","2026-09-14","TestTrelloParametrized","test_parametrized","",""
"","443","test_list_and_card_schema_validation","tests","2026-09-14","passed","2026-09-14","TestTrelloSchema","test_schema","",""
"","94","SLA: Время ответа при получении профиля пользователя не превышает 2.0 с","tests","2026-09-14","passed","2026-09-14","TestAPIPerformanceSLA","test_sla","",""
"","75","Запрос доски с фильтром fields возвращает только запрашиваемые поля","tests","2026-09-14","passed","2026-09-14","TestQueryParams","test_query_params","",""
"","1059","test_create_board_with_different_names[symbols]","tests","2026-09-14","passed","2026-09-14","TestTrelloParametrized","test_parametrized","",""
"","78","test_board_schema_validation","tests","2026-09-14","passed","2026-09-14","TestTrelloSchema","test_schema","",""
"","915","test_create_board_with_different_names[english]","tests","2026-09-14","passed","2026-09-14","TestTrelloParametrized","test_parametrized","",""
"","146","test_request_with_invalid_credentials","tests","2026-09-14","passed","2026-09-14","TestTrelloNegative","test_negative","",""
"","874","test_move_card_between_lists","tests","2026-09-14","passed","2026-09-14","TestTrelloUpdate","test_update","",""
"","914","test_create_board_with_different_names[long_name]","tests","2026-09-14","passed","2026-09-14","TestTrelloParametrized","test_parametrized","",""
"","71","SLA: Время ответа при чтении данных доски не превышает 2.0 с","tests","2026-09-14","passed","2026-09-14","TestAPIPerformanceSLA","test_sla","",""
"","126","test_get_non_existent_board","tests","2026-09-14","passed","2026-09-14","TestTrelloNegative","test_negative","",""
"","488","test_get_all_lists_on_board","tests","2026-09-14","passed","2026-09-14","TestTrelloLists","test_lists","",""
"","499","test_full_trello_workflow","tests","2026-09-14","passed","2026-09-14","TestTrelloWorkflow","test_boards","",""
"","511","test_update_board_details","tests","2026-09-14","passed","2026-09-14","TestTrelloUpdate","test_update","",""
"","1474","Создание и чтение чек-листа в карточке","tests","2026-09-14","passed","2026-09-14","TestChecklists","test_checklists","",""
"","75","test_create_board_without_auth","tests","2026-09-14","passed","2026-09-14","TestTrelloNegative","test_negative","",""
"","89","test_create_board_without_name","tests","2026-09-14","passed","2026-09-14","TestTrelloNegative","test_negative","",""
"","314","test_archive_list","tests","2026-09-14","passed","2026-09-14","TestTrelloLists","test_lists","",""
