"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","156","test_get_non_existent_board","tests","2026-08-10","passed","2026-08-10","TestTrelloNegative","test_negative","",""
"","138","test_request_with_invalid_credentials","tests","2026-08-10","passed","2026-08-10","TestTrelloNegative","test_negative","",""
"","1143","test_create_board_with_different_names[cyrillic]","tests","2026-08-10","passed","2026-08-10","TestTrelloParametrized","test_parametrized","",""
"","1340","test_create_board_with_different_names[english]","tests","2026-08-10","passed","2026-08-10","TestTrelloParametrized","test_parametrized","",""
"","889","test_get_all_lists_on_board","tests","2026-08-10","passed","2026-08-10","TestTrelloLists","test_lists","",""
"","149","test_create_board_without_auth","tests","2026-08-10","passed","2026-08-10","TestTrelloNegative","test_negative","",""
"","531","test_update_board_details","tests","2026-08-10","passed","2026-08-10","TestTrelloUpdate","test_update","",""
"","1209","test_create_board_with_different_names[symbols]","tests","2026-08-10","passed","2026-08-10","TestTrelloParametrized","test_parametrized","",""
"","1040","test_full_trello_workflow","tests","2026-08-10","passed","2026-08-10","TestTrelloWorkflow","test_boards","",""
"","205","test_board_schema_validation","tests","2026-08-10","passed","2026-08-10","TestTrelloSchema","test_schema","",""
"","1028","test_create_board_with_different_names[long_name]","tests","2026-08-10","passed","2026-08-10","TestTrelloParametrized","test_parametrized","",""
"","1657","test_move_card_between_lists","tests","2026-08-10","passed","2026-08-10","TestTrelloUpdate","test_update","",""
"","1044","test_create_board_with_different_names[emoji]","tests","2026-08-10","passed","2026-08-10","TestTrelloParametrized","test_parametrized","",""
"","686","test_archive_list","tests","2026-08-10","passed","2026-08-10","TestTrelloLists","test_lists","",""
"","150","test_create_board_without_name","tests","2026-08-10","passed","2026-08-10","TestTrelloNegative","test_negative","",""
