"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","155","SLA: Время ответа при чтении данных доски не превышает 2.0 с","tests","2026-09-17","passed","2026-09-17","TestAPIPerformanceSLA","test_sla","",""
"","157","SLA: Время ответа при получении профиля пользователя не превышает 2.0 с","tests","2026-09-17","passed","2026-09-17","TestAPIPerformanceSLA","test_sla","",""
"","1018","Создание и чтение чек-листа в карточке","tests","2026-09-17","passed","2026-09-17","TestChecklists","test_checklists","",""
"","139","Запрос доски с фильтром fields возвращает только запрашиваемые поля","tests","2026-09-17","passed","2026-09-17","TestQueryParams","test_query_params","",""
"","945","test_create_board_with_different_names[symbols]","tests","2026-09-17","passed","2026-09-17","TestTrelloParametrized","test_parametrized","",""
"","532","test_list_and_card_schema_validation","tests","2026-09-17","passed","2026-09-17","TestTrelloSchema","test_schema","",""
"","1273","test_create_board_with_different_names[cyrillic]","tests","2026-09-17","passed","2026-09-17","TestTrelloParametrized","test_parametrized","",""
"","996","test_create_board_with_different_names[long_name]","tests","2026-09-17","passed","2026-09-17","TestTrelloParametrized","test_parametrized","",""
"","1287","test_move_card_between_lists","tests","2026-09-17","passed","2026-09-17","TestTrelloUpdate","test_update","",""
"","1010","test_create_board_with_different_names[english]","tests","2026-09-17","passed","2026-09-17","TestTrelloParametrized","test_parametrized","",""
"","127","test_request_with_invalid_credentials","tests","2026-09-17","passed","2026-09-17","TestTrelloNegative","test_negative","",""
"","427","test_update_board_details","tests","2026-09-17","passed","2026-09-17","TestTrelloUpdate","test_update","",""
"","151","test_create_board_without_name","tests","2026-09-17","passed","2026-09-17","TestTrelloNegative","test_negative","",""
"","161","test_get_non_existent_board","tests","2026-09-17","passed","2026-09-17","TestTrelloNegative","test_negative","",""
"","607","test_get_all_lists_on_board","tests","2026-09-17","passed","2026-09-17","TestTrelloLists","test_lists","",""
"","171","test_board_schema_validation","tests","2026-09-17","passed","2026-09-17","TestTrelloSchema","test_schema","",""
"","677","test_full_trello_workflow","tests","2026-09-17","passed","2026-09-17","TestTrelloWorkflow","test_boards","",""
"","475","test_archive_list","tests","2026-09-17","passed","2026-09-17","TestTrelloLists","test_lists","",""
"","1618","test_create_board_with_different_names[emoji]","tests","2026-09-17","passed","2026-09-17","TestTrelloParametrized","test_parametrized","",""
"","126","test_create_board_without_auth","tests","2026-09-17","passed","2026-09-17","TestTrelloNegative","test_negative","",""
