"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","984","test_create_board_with_different_names[cyrillic]","tests","2026-09-06","passed","2026-09-06","TestTrelloParametrized","test_parametrized","",""
"","1263","test_move_card_between_lists","tests","2026-09-06","passed","2026-09-06","TestTrelloUpdate","test_update","",""
"","189","SLA: Время ответа при получении профиля пользователя не превышает 2.0 с","tests","2026-09-06","passed","2026-09-06","TestAPIPerformanceSLA","test_sla","",""
"","172","SLA: Время ответа при чтении данных доски не превышает 2.0 с","tests","2026-09-06","passed","2026-09-06","TestAPIPerformanceSLA","test_sla","",""
"","168","test_create_board_without_auth","tests","2026-09-06","passed","2026-09-06","TestTrelloNegative","test_negative","",""
"","152","test_request_with_invalid_credentials","tests","2026-09-06","passed","2026-09-06","TestTrelloNegative","test_negative","",""
"","565","test_list_and_card_schema_validation","tests","2026-09-06","passed","2026-09-06","TestTrelloSchema","test_schema","",""
"","1047","test_create_board_with_different_names[long_name]","tests","2026-09-06","passed","2026-09-06","TestTrelloParametrized","test_parametrized","",""
"","169","test_get_non_existent_board","tests","2026-09-06","passed","2026-09-06","TestTrelloNegative","test_negative","",""
"","146","Запрос доски с фильтром fields возвращает только запрашиваемые поля","tests","2026-09-06","passed","2026-09-06","TestQueryParams","test_query_params","",""
"","589","test_get_all_lists_on_board","tests","2026-09-06","passed","2026-09-06","TestTrelloLists","test_lists","",""
"","996","test_create_board_with_different_names[english]","tests","2026-09-06","passed","2026-09-06","TestTrelloParametrized","test_parametrized","",""
"","1080","test_create_board_with_different_names[symbols]","tests","2026-09-06","passed","2026-09-06","TestTrelloParametrized","test_parametrized","",""
"","166","test_create_board_without_name","tests","2026-09-06","passed","2026-09-06","TestTrelloNegative","test_negative","",""
"","969","Создание и чтение чек-листа в карточке","tests","2026-09-06","passed","2026-09-06","TestChecklists","test_checklists","",""
"","1113","test_create_board_with_different_names[emoji]","tests","2026-09-06","passed","2026-09-06","TestTrelloParametrized","test_parametrized","",""
"","700","test_full_trello_workflow","tests","2026-09-06","passed","2026-09-06","TestTrelloWorkflow","test_boards","",""
"","168","test_board_schema_validation","tests","2026-09-06","passed","2026-09-06","TestTrelloSchema","test_schema","",""
"","467","test_archive_list","tests","2026-09-06","passed","2026-09-06","TestTrelloLists","test_lists","",""
"","466","test_update_board_details","tests","2026-09-06","passed","2026-09-06","TestTrelloUpdate","test_update","",""
