"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","464","test_update_board_details","tests","2026-08-30","passed","2026-08-30","TestTrelloUpdate","test_update","",""
"","796","test_full_trello_workflow","tests","2026-08-30","passed","2026-08-30","TestTrelloWorkflow","test_boards","",""
"","591","test_list_and_card_schema_validation","tests","2026-08-30","passed","2026-08-30","TestTrelloSchema","test_schema","",""
"","802","test_get_all_lists_on_board","tests","2026-08-30","passed","2026-08-30","TestTrelloLists","test_lists","",""
"","174","test_create_board_without_name","tests","2026-08-30","passed","2026-08-30","TestTrelloNegative","test_negative","",""
"","866","test_archive_list","tests","2026-08-30","passed","2026-08-30","TestTrelloLists","test_lists","",""
"","160","test_request_with_invalid_credentials","tests","2026-08-30","passed","2026-08-30","TestTrelloNegative","test_negative","",""
"","1238","test_create_board_with_different_names[english]","tests","2026-08-30","passed","2026-08-30","TestTrelloParametrized","test_parametrized","",""
"","172","test_get_non_existent_board","tests","2026-08-30","passed","2026-08-30","TestTrelloNegative","test_negative","",""
"","1024","test_create_board_with_different_names[emoji]","tests","2026-08-30","passed","2026-08-30","TestTrelloParametrized","test_parametrized","",""
"","152","test_create_board_without_auth","tests","2026-08-30","passed","2026-08-30","TestTrelloNegative","test_negative","",""
"","1083","Создание и чтение чек-листа в карточке","tests","2026-08-30","passed","2026-08-30","TestChecklists","test_checklists","",""
"","1530","test_move_card_between_lists","tests","2026-08-30","passed","2026-08-30","TestTrelloUpdate","test_update","",""
"","169","SLA: Время ответа при чтении данных доски не превышает 2.0 с","tests","2026-08-30","passed","2026-08-30","TestAPIPerformanceSLA","test_sla","",""
"","160","Запрос доски с фильтром fields возвращает только запрашиваемые поля","tests","2026-08-30","passed","2026-08-30","TestQueryParams","test_query_params","",""
"","984","test_create_board_with_different_names[long_name]","tests","2026-08-30","passed","2026-08-30","TestTrelloParametrized","test_parametrized","",""
"","159","test_board_schema_validation","tests","2026-08-30","passed","2026-08-30","TestTrelloSchema","test_schema","",""
"","191","SLA: Время ответа при получении профиля пользователя не превышает 2.0 с","tests","2026-08-30","passed","2026-08-30","TestAPIPerformanceSLA","test_sla","",""
"","918","test_create_board_with_different_names[symbols]","tests","2026-08-30","passed","2026-08-30","TestTrelloParametrized","test_parametrized","",""
"","991","test_create_board_with_different_names[cyrillic]","tests","2026-08-30","passed","2026-08-30","TestTrelloParametrized","test_parametrized","",""
