"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","89","SLA: Время ответа при чтении данных доски не превышает 2.0 с","tests","2026-09-19","passed","2026-09-19","TestAPIPerformanceSLA","test_sla","",""
"","413","test_archive_list","tests","2026-09-19","passed","2026-09-19","TestTrelloLists","test_lists","",""
"","429","test_get_all_lists_on_board","tests","2026-09-19","passed","2026-09-19","TestTrelloLists","test_lists","",""
"","110","SLA: Время ответа при получении профиля пользователя не превышает 2.0 с","tests","2026-09-19","passed","2026-09-19","TestAPIPerformanceSLA","test_sla","",""
"","1062","test_create_board_with_different_names[long_name]","tests","2026-09-19","passed","2026-09-19","TestTrelloParametrized","test_parametrized","",""
"","1090","test_create_board_with_different_names[cyrillic]","tests","2026-09-19","passed","2026-09-19","TestTrelloParametrized","test_parametrized","",""
"","1028","test_move_card_between_lists","tests","2026-09-19","passed","2026-09-19","TestTrelloUpdate","test_update","",""
"","472","test_list_and_card_schema_validation","tests","2026-09-19","passed","2026-09-19","TestTrelloSchema","test_schema","",""
"","1024","test_create_board_with_different_names[english]","tests","2026-09-19","passed","2026-09-19","TestTrelloParametrized","test_parametrized","",""
"","76","test_request_with_invalid_credentials","tests","2026-09-19","passed","2026-09-19","TestTrelloNegative","test_negative","",""
"","79","test_create_board_without_auth","tests","2026-09-19","passed","2026-09-19","TestTrelloNegative","test_negative","",""
"","811","test_create_board_with_different_names[symbols]","tests","2026-09-19","passed","2026-09-19","TestTrelloParametrized","test_parametrized","",""
"","98","test_board_schema_validation","tests","2026-09-19","passed","2026-09-19","TestTrelloSchema","test_schema","",""
"","117","test_get_non_existent_board","tests","2026-09-19","passed","2026-09-19","TestTrelloNegative","test_negative","",""
"","733","Создание и чтение чек-листа в карточке","tests","2026-09-19","passed","2026-09-19","TestChecklists","test_checklists","",""
"","103","test_create_board_without_name","tests","2026-09-19","passed","2026-09-19","TestTrelloNegative","test_negative","",""
"","933","test_create_board_with_different_names[emoji]","tests","2026-09-19","passed","2026-09-19","TestTrelloParametrized","test_parametrized","",""
"","77","Запрос доски с фильтром fields возвращает только запрашиваемые поля","tests","2026-09-19","passed","2026-09-19","TestQueryParams","test_query_params","",""
"","539","test_full_trello_workflow","tests","2026-09-19","passed","2026-09-19","TestTrelloWorkflow","test_boards","",""
"","320","test_update_board_details","tests","2026-09-19","passed","2026-09-19","TestTrelloUpdate","test_update","",""
