"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","400","test_list_and_card_schema_validation","tests","2026-08-23","passed","2026-08-23","TestTrelloSchema","test_schema","",""
"","840","test_create_board_with_different_names[emoji]","tests","2026-08-23","passed","2026-08-23","TestTrelloParametrized","test_parametrized","",""
"","357","test_update_board_details","tests","2026-08-23","passed","2026-08-23","TestTrelloUpdate","test_update","",""
"","324","test_archive_list","tests","2026-08-23","passed","2026-08-23","TestTrelloLists","test_lists","",""
"","812","test_create_board_with_different_names[symbols]","tests","2026-08-23","passed","2026-08-23","TestTrelloParametrized","test_parametrized","",""
"","379","test_get_all_lists_on_board","tests","2026-08-23","passed","2026-08-23","TestTrelloLists","test_lists","",""
"","1078","test_move_card_between_lists","tests","2026-08-23","passed","2026-08-23","TestTrelloUpdate","test_update","",""
"","93","test_board_schema_validation","tests","2026-08-23","passed","2026-08-23","TestTrelloSchema","test_schema","",""
"","923","test_create_board_with_different_names[cyrillic]","tests","2026-08-23","passed","2026-08-23","TestTrelloParametrized","test_parametrized","",""
"","926","test_create_board_with_different_names[long_name]","tests","2026-08-23","passed","2026-08-23","TestTrelloParametrized","test_parametrized","",""
"","845","test_create_board_with_different_names[english]","tests","2026-08-23","passed","2026-08-23","TestTrelloParametrized","test_parametrized","",""
"","109","test_request_with_invalid_credentials","tests","2026-08-23","passed","2026-08-23","TestTrelloNegative","test_negative","",""
"","94","test_create_board_without_auth","tests","2026-08-23","passed","2026-08-23","TestTrelloNegative","test_negative","",""
"","672","test_full_trello_workflow","tests","2026-08-23","passed","2026-08-23","TestTrelloWorkflow","test_boards","",""
"","132","test_get_non_existent_board","tests","2026-08-23","passed","2026-08-23","TestTrelloNegative","test_negative","",""
"","136","test_create_board_without_name","tests","2026-08-23","passed","2026-08-23","TestTrelloNegative","test_negative","",""
