"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","912","test_create_board_with_different_names[symbols]","tests","2026-08-28","passed","2026-08-28","TestTrelloParametrized","test_parametrized","",""
"","147","test_request_with_invalid_credentials","tests","2026-08-28","passed","2026-08-28","TestTrelloNegative","test_negative","",""
"","114","SLA: Время ответа при чтении данных доски не превышает 2.0 с","tests","2026-08-28","passed","2026-08-28","TestAPIPerformanceSLA","test_sla","",""
"","1174","test_move_card_between_lists","tests","2026-08-28","passed","2026-08-28","TestTrelloUpdate","test_update","",""
"","993","test_create_board_with_different_names[emoji]","tests","2026-08-28","passed","2026-08-28","TestTrelloParametrized","test_parametrized","",""
"","865","test_create_board_with_different_names[long_name]","tests","2026-08-28","passed","2026-08-28","TestTrelloParametrized","test_parametrized","",""
"","521","test_archive_list","tests","2026-08-28","passed","2026-08-28","TestTrelloLists","test_lists","",""
"","127","test_get_non_existent_board","tests","2026-08-28","passed","2026-08-28","TestTrelloNegative","test_negative","",""
"","1042","test_create_board_with_different_names[english]","tests","2026-08-28","passed","2026-08-28","TestTrelloParametrized","test_parametrized","",""
"","124","Запрос доски с фильтром fields возвращает только запрашиваемые поля","tests","2026-08-28","passed","2026-08-28","TestQueryParams","test_query_params","",""
"","155","test_create_board_without_name","tests","2026-08-28","passed","2026-08-28","TestTrelloNegative","test_negative","",""
"","614","test_get_all_lists_on_board","tests","2026-08-28","passed","2026-08-28","TestTrelloLists","test_lists","",""
"","437","test_update_board_details","tests","2026-08-28","passed","2026-08-28","TestTrelloUpdate","test_update","",""
"","887","test_create_board_with_different_names[cyrillic]","tests","2026-08-28","passed","2026-08-28","TestTrelloParametrized","test_parametrized","",""
"","493","test_list_and_card_schema_validation","tests","2026-08-28","passed","2026-08-28","TestTrelloSchema","test_schema","",""
"","112","test_create_board_without_auth","tests","2026-08-28","passed","2026-08-28","TestTrelloNegative","test_negative","",""
"","801","Создание и чтение чек-листа в карточке","tests","2026-08-28","passed","2026-08-28","TestChecklists","test_checklists","",""
"","527","test_full_trello_workflow","tests","2026-08-28","passed","2026-08-28","TestTrelloWorkflow","test_boards","",""
"","192","SLA: Время ответа при получении профиля пользователя не превышает 2.0 с","tests","2026-08-28","passed","2026-08-28","TestAPIPerformanceSLA","test_sla","",""
"","119","test_board_schema_validation","tests","2026-08-28","passed","2026-08-28","TestTrelloSchema","test_schema","",""
