"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","425","test_list_and_card_schema_validation","tests","2026-09-01","passed","2026-09-01","TestTrelloSchema","test_schema","",""
"","1322","test_create_board_with_different_names[long_name]","tests","2026-09-01","passed","2026-09-01","TestTrelloParametrized","test_parametrized","",""
"","306","test_archive_list","tests","2026-09-01","passed","2026-09-01","TestTrelloLists","test_lists","",""
"","69","SLA: Время ответа при чтении данных доски не превышает 2.0 с","tests","2026-09-01","passed","2026-09-01","TestAPIPerformanceSLA","test_sla","",""
"","995","test_create_board_with_different_names[cyrillic]","tests","2026-09-01","passed","2026-09-01","TestTrelloParametrized","test_parametrized","",""
"","898","test_create_board_with_different_names[symbols]","tests","2026-09-01","passed","2026-09-01","TestTrelloParametrized","test_parametrized","",""
"","77","test_request_with_invalid_credentials","tests","2026-09-01","passed","2026-09-01","TestTrelloNegative","test_negative","",""
"","200","test_create_board_without_name","tests","2026-09-01","passed","2026-09-01","TestTrelloNegative","test_negative","",""
"","670","Создание и чтение чек-листа в карточке","tests","2026-09-01","passed","2026-09-01","TestChecklists","test_checklists","",""
"","135","SLA: Время ответа при получении профиля пользователя не превышает 2.0 с","tests","2026-09-01","passed","2026-09-01","TestAPIPerformanceSLA","test_sla","",""
"","342","test_get_all_lists_on_board","tests","2026-09-01","passed","2026-09-01","TestTrelloLists","test_lists","",""
"","84","Запрос доски с фильтром fields возвращает только запрашиваемые поля","tests","2026-09-01","passed","2026-09-01","TestQueryParams","test_query_params","",""
"","1093","test_create_board_with_different_names[emoji]","tests","2026-09-01","passed","2026-09-01","TestTrelloParametrized","test_parametrized","",""
"","124","test_get_non_existent_board","tests","2026-09-01","passed","2026-09-01","TestTrelloNegative","test_negative","",""
"","153","test_create_board_without_auth","tests","2026-09-01","passed","2026-09-01","TestTrelloNegative","test_negative","",""
"","72","test_board_schema_validation","tests","2026-09-01","passed","2026-09-01","TestTrelloSchema","test_schema","",""
"","299","test_update_board_details","tests","2026-09-01","passed","2026-09-01","TestTrelloUpdate","test_update","",""
"","1395","test_create_board_with_different_names[english]","tests","2026-09-01","passed","2026-09-01","TestTrelloParametrized","test_parametrized","",""
"","566","test_full_trello_workflow","tests","2026-09-01","passed","2026-09-01","TestTrelloWorkflow","test_boards","",""
"","932","test_move_card_between_lists","tests","2026-09-01","passed","2026-09-01","TestTrelloUpdate","test_update","",""
