"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","677","test_archive_list","tests","2026-08-26","passed","2026-08-26","TestTrelloLists","test_lists","",""
"","1036","test_create_board_with_different_names[symbols]","tests","2026-08-26","passed","2026-08-26","TestTrelloParametrized","test_parametrized","",""
"","1942","Создание и чтение чек-листа в карточке","tests","2026-08-26","passed","2026-08-26","TestChecklists","test_checklists","",""
"","780","test_get_all_lists_on_board","tests","2026-08-26","passed","2026-08-26","TestTrelloLists","test_lists","",""
"","177","SLA: Время ответа при получении профиля пользователя не превышает 2.0 с","tests","2026-08-26","passed","2026-08-26","TestAPIPerformanceSLA","test_sla","",""
"","848","test_update_board_details","tests","2026-08-26","passed","2026-08-26","TestTrelloUpdate","test_update","",""
"","1405","test_create_board_with_different_names[long_name]","tests","2026-08-26","passed","2026-08-26","TestTrelloParametrized","test_parametrized","",""
"","805","test_full_trello_workflow","tests","2026-08-26","passed","2026-08-26","TestTrelloWorkflow","test_boards","",""
"","1313","test_create_board_with_different_names[english]","tests","2026-08-26","passed","2026-08-26","TestTrelloParametrized","test_parametrized","",""
"","111","Запрос доски с фильтром fields возвращает только запрашиваемые поля","tests","2026-08-26","passed","2026-08-26","TestQueryParams","test_query_params","",""
"","159","test_create_board_without_auth","tests","2026-08-26","passed","2026-08-26","TestTrelloNegative","test_negative","",""
"","726","test_list_and_card_schema_validation","tests","2026-08-26","passed","2026-08-26","TestTrelloSchema","test_schema","",""
"","282","test_request_with_invalid_credentials","tests","2026-08-26","passed","2026-08-26","TestTrelloNegative","test_negative","",""
"","179","SLA: Время ответа при чтении данных доски не превышает 2.0 с","tests","2026-08-26","passed","2026-08-26","TestAPIPerformanceSLA","test_sla","",""
"","1090","test_create_board_with_different_names[emoji]","tests","2026-08-26","passed","2026-08-26","TestTrelloParametrized","test_parametrized","",""
"","1667","test_move_card_between_lists","tests","2026-08-26","passed","2026-08-26","TestTrelloUpdate","test_update","",""
"","126","test_create_board_without_name","tests","2026-08-26","passed","2026-08-26","TestTrelloNegative","test_negative","",""
"","194","test_board_schema_validation","tests","2026-08-26","passed","2026-08-26","TestTrelloSchema","test_schema","",""
"","156","test_get_non_existent_board","tests","2026-08-26","passed","2026-08-26","TestTrelloNegative","test_negative","",""
"","950","test_create_board_with_different_names[cyrillic]","tests","2026-08-26","passed","2026-08-26","TestTrelloParametrized","test_parametrized","",""
