"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","112","SLA: Время ответа при чтении данных доски не превышает 2.0 с","tests","2026-09-04","passed","2026-09-04","TestAPIPerformanceSLA","test_sla","",""
"","809","Создание и чтение чек-листа в карточке","tests","2026-09-04","passed","2026-09-04","TestChecklists","test_checklists","",""
"","979","test_create_board_with_different_names[symbols]","tests","2026-09-04","passed","2026-09-04","TestTrelloParametrized","test_parametrized","",""
"","510","test_list_and_card_schema_validation","tests","2026-09-04","passed","2026-09-04","TestTrelloSchema","test_schema","",""
"","903","test_create_board_with_different_names[long_name]","tests","2026-09-04","passed","2026-09-04","TestTrelloParametrized","test_parametrized","",""
"","334","test_update_board_details","tests","2026-09-04","passed","2026-09-04","TestTrelloUpdate","test_update","",""
"","583","test_full_trello_workflow","tests","2026-09-04","passed","2026-09-04","TestTrelloWorkflow","test_boards","",""
"","110","test_board_schema_validation","tests","2026-09-04","passed","2026-09-04","TestTrelloSchema","test_schema","",""
"","71","test_create_board_without_auth","tests","2026-09-04","passed","2026-09-04","TestTrelloNegative","test_negative","",""
"","1350","test_move_card_between_lists","tests","2026-09-04","passed","2026-09-04","TestTrelloUpdate","test_update","",""
"","427","test_get_all_lists_on_board","tests","2026-09-04","passed","2026-09-04","TestTrelloLists","test_lists","",""
"","981","test_create_board_with_different_names[cyrillic]","tests","2026-09-04","passed","2026-09-04","TestTrelloParametrized","test_parametrized","",""
"","110","SLA: Время ответа при получении профиля пользователя не превышает 2.0 с","tests","2026-09-04","passed","2026-09-04","TestAPIPerformanceSLA","test_sla","",""
"","428","test_archive_list","tests","2026-09-04","passed","2026-09-04","TestTrelloLists","test_lists","",""
"","97","test_request_with_invalid_credentials","tests","2026-09-04","passed","2026-09-04","TestTrelloNegative","test_negative","",""
"","970","test_create_board_with_different_names[english]","tests","2026-09-04","passed","2026-09-04","TestTrelloParametrized","test_parametrized","",""
"","864","test_create_board_with_different_names[emoji]","tests","2026-09-04","passed","2026-09-04","TestTrelloParametrized","test_parametrized","",""
"","97","test_create_board_without_name","tests","2026-09-04","passed","2026-09-04","TestTrelloNegative","test_negative","",""
"","96","Запрос доски с фильтром fields возвращает только запрашиваемые поля","tests","2026-09-04","passed","2026-09-04","TestQueryParams","test_query_params","",""
"","118","test_get_non_existent_board","tests","2026-09-04","passed","2026-09-04","TestTrelloNegative","test_negative","",""
