"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1171","test_create_board_with_different_names[english]","tests","2026-08-11","passed","2026-08-11","TestTrelloParametrized","test_parametrized","",""
"","136","test_request_with_invalid_credentials","tests","2026-08-11","passed","2026-08-11","TestTrelloNegative","test_negative","",""
"","145","test_create_board_without_name","tests","2026-08-11","passed","2026-08-11","TestTrelloNegative","test_negative","",""
"","824","test_full_trello_workflow","tests","2026-08-11","passed","2026-08-11","TestTrelloWorkflow","test_boards","",""
"","1063","test_create_board_with_different_names[cyrillic]","tests","2026-08-11","passed","2026-08-11","TestTrelloParametrized","test_parametrized","",""
"","545","test_archive_list","tests","2026-08-11","passed","2026-08-11","TestTrelloLists","test_lists","",""
"","1220","test_create_board_with_different_names[emoji]","tests","2026-08-11","passed","2026-08-11","TestTrelloParametrized","test_parametrized","",""
"","1064","test_create_board_with_different_names[long_name]","tests","2026-08-11","passed","2026-08-11","TestTrelloParametrized","test_parametrized","",""
"","747","test_get_all_lists_on_board","tests","2026-08-11","passed","2026-08-11","TestTrelloLists","test_lists","",""
"","131","test_create_board_without_auth","tests","2026-08-11","passed","2026-08-11","TestTrelloNegative","test_negative","",""
"","1489","test_move_card_between_lists","tests","2026-08-11","passed","2026-08-11","TestTrelloUpdate","test_update","",""
"","195","test_board_schema_validation","tests","2026-08-11","passed","2026-08-11","TestTrelloSchema","test_schema","",""
"","540","test_update_board_details","tests","2026-08-11","passed","2026-08-11","TestTrelloUpdate","test_update","",""
"","1122","test_create_board_with_different_names[symbols]","tests","2026-08-11","passed","2026-08-11","TestTrelloParametrized","test_parametrized","",""
"","153","test_get_non_existent_board","tests","2026-08-11","passed","2026-08-11","TestTrelloNegative","test_negative","",""
