"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","158","test_request_with_invalid_credentials","tests","2026-09-26","passed","2026-09-26","TestTrelloNegative","test_negative","",""
"","931","test_full_trello_workflow","tests","2026-09-26","passed","2026-09-26","TestTrelloWorkflow","test_boards","",""
"","1561","test_move_card_between_lists","tests","2026-09-26","passed","2026-09-26","TestTrelloUpdate","test_update","",""
"","846","test_get_all_lists_on_board","tests","2026-09-26","passed","2026-09-26","TestTrelloLists","test_lists","",""
"","160","test_board_schema_validation","tests","2026-09-26","passed","2026-09-26","TestTrelloSchema","test_schema","",""
"","1128","test_create_board_with_different_names[cyrillic]","tests","2026-09-26","passed","2026-09-26","TestTrelloParametrized","test_parametrized","",""
"","541","test_list_and_card_schema_validation","tests","2026-09-26","passed","2026-09-26","TestTrelloSchema","test_schema","",""
"","1133","test_create_board_with_different_names[symbols]","tests","2026-09-26","passed","2026-09-26","TestTrelloParametrized","test_parametrized","",""
"","158","test_create_board_without_name","tests","2026-09-26","passed","2026-09-26","TestTrelloNegative","test_negative","",""
"","162","test_create_board_without_auth","tests","2026-09-26","passed","2026-09-26","TestTrelloNegative","test_negative","",""
"","176","test_get_non_existent_board","tests","2026-09-26","passed","2026-09-26","TestTrelloNegative","test_negative","",""
"","178","SLA: Время ответа при получении профиля пользователя не превышает 2.0 с","tests","2026-09-26","passed","2026-09-26","TestAPIPerformanceSLA","test_sla","",""
"","569","test_archive_list","tests","2026-09-26","passed","2026-09-26","TestTrelloLists","test_lists","",""
"","954","test_create_board_with_different_names[emoji]","tests","2026-09-26","passed","2026-09-26","TestTrelloParametrized","test_parametrized","",""
"","162","SLA: Время ответа при чтении данных доски не превышает 2.0 с","tests","2026-09-26","passed","2026-09-26","TestAPIPerformanceSLA","test_sla","",""
"","176","Запрос доски с фильтром fields возвращает только запрашиваемые поля","tests","2026-09-26","passed","2026-09-26","TestQueryParams","test_query_params","",""
"","914","test_create_board_with_different_names[long_name]","tests","2026-09-26","passed","2026-09-26","TestTrelloParametrized","test_parametrized","",""
"","476","test_update_board_details","tests","2026-09-26","passed","2026-09-26","TestTrelloUpdate","test_update","",""
"","1030","Создание и чтение чек-листа в карточке","tests","2026-09-26","passed","2026-09-26","TestChecklists","test_checklists","",""
"","824","test_create_board_with_different_names[english]","tests","2026-09-26","passed","2026-09-26","TestTrelloParametrized","test_parametrized","",""
